quote_id,quote_date,account_id,sales_rep_id,product_id,quantity,status,list_price,unit_price,margin
1,2024-08-28,2782,4,10,68,lost,220.0,67.03,30.469891880051115
2,2024-05-23,7882,7,2,11,lost,300.0,271.63,90.54347325361516
3,2024-08-02,9975,10,9,98,lost,120.0,61.85,51.54295708806812
4,2024-02-16,8115,1,9,379,lost,120.0,52.42,43.685001587602756
5,2024-09-02,2093,5,8,181,won,75.0,22.82,30.423080138078138
6,2024-07-19,4458,1,4,167,lost,200.0,181.74,90.87068080926944
7,2024-04-01,1224,4,9,383,lost,120.0,19.56,16.301302549896576
8,2024-12-30,1230,6,1,25,won,250.0,193.51,77.40258226441566
10,2024-04-10,344,10,1,37,lost,250.0,172.05,68.82084653742977
11,2024-11-28,9993,8,6,65,lost,500.0,217.78,43.55684596055819
12,2024-09-09,2745,7,5,174,lost,50.0,31.17,62.34098333559087
13,2024-07-17,6963,2,6,480,lost,500.0,215.08,43.01597138404714
14,2024-09-20,9107,5,3,264,lost,150.0,43.39,28.925290771684857
15,2024-05-14,7975,9,6,120,lost,500.0,321.57,64.31353940791126
16,2024-05-11,1482,7,9,74,lost,120.0,63.05,52.53808332174385
17,2024-06-13,6450,10,2,42,lost,300.0,220.21,73.4025186951056
18,2024-04-24,3637,1,3,51,won,150.0,57.06,38.04170876996541
19,2024-11-01,5399,10,7,569,won,100.0,74.09,74.09268342257832
20,2024-12-01,4070,10,8,215,lost,75.0,32.61,43.48305346477786
21,2024-09-04,6869,4,4,62,lost,200.0,168.09,84.04277674015657
22,2024-03-07,7034,9,4,219,lost,200.0,166.58,83.28984515182903
23,2024-07-16,6882,4,8,148,lost,75.0,23.87,31.821253455157876
24,2024-01-02,4671,1,4,166,lost,200.0,166.59,83.29644261288969
25,2024-05-23,4842,9,3,18,lost,150.0,120.74,80.49386009312752
26,2024-06-28,8782,8,7,13,lost,100.0,54.34,54.33782147079833
27,2024-07-26,5663,2,3,17,lost,150.0,102.84,68.56160230761972
28,2024-05-20,7374,6,5,134,won,50.0,32.16,64.31235314665565
29,2024-11-20,2955,4,10,501,won,220.0,35.02,15.916522826234491
30,2024-12-14,7461,7,4,115,lost,200.0,129.63,64.81576736402636
31,2024-01-22,725,5,4,192,lost,200.0,154.81,77.40619500404179
32,2024-04-11,651,2,8,23,lost,75.0,40.67,54.23171371163884
33,2024-03-09,412,2,6,341,lost,500.0,123.92,24.784777425305613
34,2024-06-15,6799,9,2,43,lost,300.0,232.06,77.35478512811113
35,2024-09-29,9045,8,5,246,lost,50.0,19.38,38.768102694279506
36,2024-01-18,9221,7,4,336,lost,200.0,144.3,72.14971480782035
37,2024-08-28,5725,1,7,156,lost,100.0,59.94,59.940958469208034
38,2024-12-11,8073,6,4,97,lost,200.0,174.85,87.42475414558407
39,2024-07-15,327,8,9,113,lost,120.0,53.73,44.771072492147496
40,2024-08-04,9087,6,4,94,won,200.0,164.14,82.07101109099615
41,2024-02-04,9912,3,5,289,lost,50.0,29.24,58.48579549944486
42,2024-11-14,6954,7,8,11,lost,75.0,31.07,41.420937714635365
43,2024-09-20,6419,6,1,257,lost,250.0,73.78,29.51340434693595
44,2024-12-26,3969,2,5,116,lost,50.0,34.39,68.77787616983599
45,2024-09-22,1202,5,10,214,lost,220.0,83.8,38.092231304214735
46,2024-05-16,6437,2,4,150,lost,200.0,139.11,69.55677942539879
47,2024-09-24,1501,2,3,351,won,150.0,85.29,56.85853556957453
48,2024-09-22,921,10,8,104,lost,75.0,21.89,29.183927783625574
49,2024-10-21,8275,4,8,55,won,75.0,31.96,42.617871089153994
50,2024-01-16,6476,6,3,44,lost,150.0,77.49,51.66086315462892
51,2024-12-19,4215,1,5,212,lost,50.0,33.25,66.50271725975269
52,2024-04-15,3885,8,4,534,won,200.0,138.82,69.40828409547773
53,2024-03-30,7548,7,8,507,lost,75.0,15.57,20.75349945944114
54,2024-09-30,9500,2,7,190,lost,100.0,63.62,63.621522538273865
55,2024-11-10,8357,6,2,2,lost,300.0,238.76,79.58636886592575
56,2024-10-12,3691,6,6,906,lost,500.0,191.02,38.20419481929298
57,2024-11-09,8021,6,5,86,lost,50.0,23.24,46.47251057528611
58,2024-04-16,9184,4,2,25,lost,300.0,182.89,60.96313495347348
59,2024-03-02,7030,4,9,133,won,120.0,56.32,46.93334430434164
60,2024-10-23,8416,7,5,194,won,50.0,34.36,68.71330801468196
61,2024-03-21,5171,1,3,116,lost,150.0,69.48,46.32103185185478
62,2024-07-29,1987,9,10,492,won,220.0,103.94,47.243378109583865
63,2024-12-13,9052,7,10,58,won,220.0,105.35,47.88423819534108
64,2024-05-12,3530,8,3,122,lost,150.0,112.03,74.68958982792493
65,2024-01-13,2875,3,1,452,lost,250.0,63.02,25.20901410074292
66,2024-11-08,1919,10,2,2,won,300.0,216.08,72.02516881094195
67,2024-03-11,4919,10,7,33,lost,100.0,65.99,65.99333518437369
68,2024-03-23,7185,10,7,141,lost,100.0,71.9,71.90200808987512
69,2024-05-21,9361,3,3,198,won,150.0,88.96,59.30832675501102
70,2024-05-26,5880,4,8,172,lost,75.0,22.76,30.344745620855797
71,2024-11-03,9310,2,7,196,won,100.0,68.52,68.52271376648329
72,2024-08-17,6703,10,4,34,lost,200.0,170.26,85.12849567900199
73,2024-05-11,499,9,6,12,lost,500.0,169.93,33.98660750714462
74,2024-11-26,9922,10,1,31,won,250.0,174.68,69.87007996481458
75,2024-07-20,3356,2,2,219,lost,300.0,195.46,65.15444658307246
76,2024-04-06,2342,4,1,489,won,250.0,96.93,38.77153482764264
77,2024-11-04,8406,8,8,488,lost,75.0,27.75,36.99433279863883
78,2024-07-29,8358,1,9,100,lost,120.0,76.54,63.78408992036992
79,2024-06-25,7200,1,7,113,won,100.0,76.02,76.0193018243682
80,2024-12-27,5202,7,5,73,lost,50.0,25.73,51.450018439540784
81,2024-07-28,9535,8,9,71,lost,120.0,44.41,37.01145564279967
82,2024-02-16,3086,7,3,65,won,150.0,82.0,54.669028736298024
83,2024-08-06,8847,9,1,254,lost,250.0,91.87,36.746045393864726
84,2024-11-21,3496,1,4,156,lost,200.0,187.76,93.87945042233004
85,2024-12-17,530,6,9,283,lost,120.0,61.83,51.52333406813475
86,2024-01-10,7137,3,4,112,lost,200.0,116.89,58.44664128664982
87,2024-04-05,9024,10,1,514,lost,250.0,149.13,59.65029566025504
88,2024-12-29,3155,6,9,113,lost,120.0,63.15,52.62201195259042
89,2024-01-25,9675,4,10,438,lost,220.0,112.62,51.191080122964095
90,2024-11-04,442,10,1,530,lost,250.0,102.06,40.82264623401468
91,2024-10-20,7466,10,9,147,lost,120.0,55.55,46.29242362577604
92,2024-01-08,9145,5,6,643,lost,500.0,227.2,45.44068841294104
93,2024-02-01,8471,9,8,122,lost,75.0,25.73,34.30706331624476
94,2024-04-23,289,3,9,109,lost,120.0,54.49,45.40524240786658
95,2024-01-06,9668,8,10,91,lost,220.0,58.5,26.591769914852478
96,2024-10-10,7427,8,6,616,lost,500.0,250.99,50.19890364072161
97,2024-06-07,2814,2,9,14,lost,120.0,60.86,50.71705377430729
98,2024-03-15,8891,5,3,64,lost,150.0,92.52,61.68149693439665
99,2024-11-07,8455,9,4,138,lost,200.0,167.21,83.60302208113863
