user_id,sign_up_date,convert_date,zip_code,user_type
1,2024-12-30 19:31:14,,10452,Philosopher
2,2024-02-22 10:49:29,,65168,Philosopher
3,2024-06-13 22:25:45,,78516,Philosopher
4,2024-12-21 11:01:49,2025-03-19 11:01:49,77654,Casual User
5,2024-05-14 04:25:39,,90024,Casual User
6,2024-10-04 22:14:16,,55321,Casual User
7,2024-04-02 22:48:02,,69899,Casual User
8,2024-11-14 04:55:41,,88050,Adventurer
9,2024-07-25 23:04:17,,84812,Philosopher
10,2024-05-22 12:00:41,,85034,Philosopher
11,2024-10-30 08:34:04,,38236,Adventurer
12,2024-05-11 05:18:31,2024-06-04 05:18:31,14116,Philosopher
13,2024-08-20 23:06:20,,81490,Philosopher
14,2024-02-01 16:31:34,2024-04-21 16:31:34,26151,Casual User
15,2024-06-21 18:07:06,2024-08-26 18:07:06,58341,Casual User
16,2024-11-03 00:23:13,2025-01-26 00:23:13,48305,Casual User
17,2024-07-01 14:39:31,,77854,Adventurer
18,2024-06-01 10:21:49,,80454,Philosopher
19,2024-08-28 01:44:45,,92369,Power Seeker
20,2024-07-14 15:54:53,2024-08-06 15:54:53,24151,Philosopher
21,2024-10-02 19:56:23,,18324,Casual User
22,2024-05-21 01:23:34,,74677,Adventurer
23,2024-12-07 11:17:07,2025-02-15 11:17:07,83126,Adventurer
24,2024-03-05 18:00:06,,72759,Philosopher
25,2024-03-25 14:37:54,2024-05-07 14:37:54,36450,Philosopher
26,2024-06-04 02:23:11,,49510,Power Seeker
27,2024-08-18 04:57:20,,79891,Casual User
28,2024-11-08 06:04:40,,38106,Casual User
29,2024-08-11 17:14:48,,71052,Casual User
30,2024-02-06 09:29:36,2024-03-17 09:29:36,73860,Casual User
31,2024-01-07 05:51:32,,11862,Adventurer
32,2024-06-21 03:25:38,,65643,Philosopher
33,2024-09-15 22:56:12,,88630,Philosopher
34,2024-10-01 17:53:27,,46359,Adventurer
35,2024-05-05 01:50:35,,73795,Casual User
36,2024-12-18 16:36:55,,22531,Power Seeker
37,2024-09-06 00:57:25,,83156,Casual User
38,2024-06-23 14:40:08,,38143,Casual User
39,2024-11-14 09:21:33,,62642,Casual User
40,2024-09-30 09:27:15,,11232,Casual User
41,2024-03-09 02:56:31,,65380,Power Seeker
42,2024-12-10 01:25:13,,66604,Casual User
43,2024-10-22 00:33:34,,13755,Casual User
44,2024-01-15 21:09:55,,68806,Casual User
45,2024-08-24 17:29:41,,16200,Adventurer
46,2024-03-30 05:19:01,,18217,Philosopher
47,2024-03-15 01:19:36,,47527,Casual User
48,2024-10-31 21:44:54,,15163,Casual User
49,2024-06-28 08:25:59,,55185,Philosopher
50,2024-05-28 03:45:05,,10843,Casual User
51,2024-09-29 07:49:58,,39299,Casual User
52,2024-07-12 08:57:57,,84084,Power Seeker
53,2024-04-04 16:10:00,,81277,Power Seeker
54,2024-01-21 00:24:15,,17819,Casual User
55,2024-04-06 08:05:48,,42761,Casual User
56,2024-12-10 02:01:14,2025-03-18 02:01:14,84499,Power Seeker
57,2024-10-12 02:08:09,,78822,Philosopher
58,2024-09-16 16:13:21,,75744,Casual User
59,2024-08-07 03:51:27,,10622,Casual User
60,2024-11-15 19:09:10,2025-02-12 19:09:10,42546,Adventurer
61,2024-03-07 03:13:35,,59863,Philosopher
62,2024-02-28 06:46:00,,60885,Adventurer
63,2024-04-10 14:48:28,2024-06-26 14:48:28,45029,Casual User
64,2024-12-21 12:08:22,,85515,Casual User
65,2024-10-13 13:10:45,2024-11-11 13:10:45,10066,Casual User
66,2024-10-24 06:33:16,,92441,Casual User
67,2024-06-02 05:50:51,,23818,Philosopher
68,2024-04-20 12:08:39,,33984,Philosopher
69,2024-06-12 10:52:41,2024-07-09 10:52:41,76830,Casual User
70,2024-06-29 01:01:03,,96295,Casual User
71,2024-07-11 06:50:46,,77725,Philosopher
72,2024-11-22 18:25:36,,33841,Philosopher
73,2024-09-21 19:44:04,,43009,Casual User
74,2024-10-02 09:09:30,,61527,Adventurer
75,2024-01-29 22:27:51,2024-04-03 22:27:51,28021,Casual User
76,2024-06-05 10:19:30,,22146,Casual User
77,2024-12-28 20:48:09,,69765,Casual User
78,2024-01-23 16:01:36,,65937,Casual User
79,2024-05-07 12:41:20,,79015,Casual User
80,2024-04-06 05:07:28,,18139,Casual User
81,2024-07-25 02:37:14,,75458,Casual User
82,2024-02-27 16:48:08,,62570,Casual User
83,2024-10-11 15:28:26,,60691,Adventurer
84,2024-03-27 19:44:06,,71208,Casual User
85,2024-11-15 00:23:58,,20604,Casual User
86,2024-12-05 13:39:40,,72343,Casual User
87,2024-05-17 01:59:48,,47360,Philosopher
88,2024-12-03 17:23:54,,67285,Casual User
89,2024-06-25 06:09:31,,76084,Casual User
90,2024-10-10 06:22:40,,99442,Philosopher
91,2024-05-09 13:00:07,,68864,Casual User
92,2024-04-25 08:34:39,,84960,Casual User
93,2024-03-23 19:51:33,,19672,Adventurer
94,2024-12-19 11:58:49,,30417,Philosopher
95,2024-11-24 14:15:00,,53288,Philosopher
96,2024-03-13 18:43:12,2024-05-25 18:43:12,34722,Casual User
97,2024-04-28 06:53:07,,65208,Casual User
98,2024-09-26 23:35:01,,47753,Philosopher
99,2024-12-06 19:11:03,,90157,Adventurer
100,2024-11-10 06:43:37,,29186,Casual User
101,2024-04-18 19:22:00,,90565,Casual User
102,2024-06-05 08:38:48,,51521,Adventurer
103,2024-08-17 10:07:55,,50580,Casual User
104,2024-01-20 07:10:55,2024-03-02 07:10:55,99727,Casual User
105,2024-08-04 10:20:53,,66098,Adventurer
106,2024-03-17 00:03:14,,13622,Casual User
107,2024-09-21 08:21:14,,15548,Casual User
108,2024-01-28 00:47:49,,61372,Casual User
109,2024-08-12 08:53:53,,26243,Philosopher
110,2024-08-15 14:14:52,2024-09-08 14:14:52,92175,Power Seeker
111,2024-09-16 20:48:16,2024-12-18 20:48:16,63022,Casual User
112,2024-08-29 06:25:17,,76258,Power Seeker
113,2024-12-12 08:46:46,,38415,Casual User
114,2024-05-17 08:34:12,,44200,Adventurer
115,2024-01-31 18:27:59,2024-02-26 18:27:59,92722,Philosopher
116,2024-09-22 13:28:31,,82796,Adventurer
117,2024-08-06 11:37:40,2024-09-15 11:37:40,59461,Power Seeker
118,2024-03-21 15:53:13,,89115,Philosopher
119,2024-09-09 03:26:52,,87674,Casual User
120,2024-08-05 19:32:52,2024-09-28 19:32:52,83838,Casual User
121,2024-03-11 23:49:46,,63634,Power Seeker
122,2024-12-19 02:21:38,,53099,Casual User
123,2024-04-12 15:26:09,,33903,Casual User
124,2024-03-21 10:56:06,,53536,Philosopher
125,2024-12-15 02:47:55,,12180,Casual User
126,2024-06-21 00:11:40,2024-07-18 00:11:40,82515,Casual User
127,2024-04-30 20:02:59,,76220,Casual User
128,2024-12-22 01:22:46,,91607,Casual User
129,2024-06-04 23:47:22,2024-07-28 23:47:22,92991,Casual User
130,2024-03-12 05:47:46,,11900,Adventurer
131,2024-08-15 23:32:48,,44525,Casual User
132,2024-04-03 00:45:26,,49963,Adventurer
133,2024-08-17 22:36:05,2024-10-19 22:36:05,39311,Adventurer
134,2024-02-11 23:36:28,,11611,Philosopher
135,2024-03-28 16:41:57,2024-04-24 16:41:57,43872,Casual User
136,2024-06-28 00:53:24,2024-08-04 00:53:24,41401,Casual User
137,2024-09-03 02:48:20,,55682,Casual User
138,2024-10-02 11:31:15,,92434,Casual User
139,2024-05-25 07:12:45,2024-08-18 07:12:45,84316,Power Seeker
140,2024-01-03 15:21:26,,15957,Adventurer
141,2024-07-05 02:23:08,,12531,Philosopher
142,2024-10-19 18:00:44,,26924,Adventurer
143,2024-07-08 17:37:35,2024-07-31 17:37:35,22328,Casual User
144,2024-02-17 12:21:42,2024-05-27 12:21:42,87594,Philosopher
145,2024-11-10 15:07:34,,54950,Casual User
146,2024-12-26 07:08:20,,62440,Adventurer
147,2024-08-14 06:23:50,,92869,Adventurer
148,2024-04-06 19:24:47,,42033,Adventurer
