date,store,item,customer_id,quantity,discount
2023-09-10,1,35,19,53.0,17.0
2024-12-10,1,35,19,113.30135569068754,18.0
2023-04-30,9,20,46,83.0,14.0
2024-08-14,2,28,25,5.906344758715748,23.0
2024-08-02,5,48,38,97.47241268235152,18.0
2024-01-26,3,41,40,46.112652911207924,18.0
2023-04-12,10,28,17,56.0,22.0
2024-10-20,9,31,19,45.0,19.0
2023-06-17,8,11,49,82.73577456370353,24.0
2023-02-02,7,7,13,72.50654166081728,8.0
2023-09-18,6,25,64,24.0,10.0
2023-07-03,3,48,21,107.77122329866802,16.0
2023-11-21,1,38,32,24.0,21.0
2024-04-14,5,30,92,32.0,22.0
2024-07-26,9,41,82,103.76463852966458,22.0
2023-08-07,8,26,96,62.93237412056621,27.0
2023-10-17,10,10,72,26.0,21.0
2023-11-27,3,50,26,25.0,20.0
2023-06-13,4,36,35,7.77490235721854,23.0
2024-11-05,3,37,53,29.0,19.0
2024-04-02,2,46,31,76.0,21.0
2023-05-29,10,31,4,2.0,23.0
2024-12-17,6,43,20,32.67004146132342,8.0
2023-11-02,6,35,48,52.0,23.0
2024-06-16,2,45,54,76.09144374715963,19.0
2023-10-15,9,49,38,51.0,25.0
2023-03-04,3,39,32,84.0,29.0
2024-04-05,5,22,26,60.0,19.0
2023-09-11,10,3,56,44.0,18.0
2024-04-26,6,49,94,28.0,20.0
2023-05-29,4,43,72,13.0,21.0
2024-05-09,9,41,56,47.0,22.0
2023-10-07,9,22,57,77.0,29.0
2024-01-15,5,22,67,29.723391640630414,22.0
2024-01-31,8,37,23,65.78739849513076,15.0
2024-08-29,7,23,2,17.64946180188968,18.0
2023-05-20,3,12,47,47.0,15.0
2023-05-16,4,17,94,53.0,22.0
2023-05-10,1,21,62,64.0,19.0
2023-12-05,5,16,83,85.35066268456032,13.0
2023-10-28,3,29,42,53.0,19.0
2023-05-22,2,13,38,97.0,26.0
2023-08-23,4,26,84,36.951195432483075,20.0
2023-02-09,9,3,81,29.039772406493253,15.0
2024-04-23,5,15,35,42.0,26.0
2023-06-24,6,21,36,85.30097139911285,25.0
2023-04-24,9,20,19,45.0,20.0
2024-03-14,1,43,55,32.0,23.0
2024-11-29,10,36,71,58.0,32.0
2024-07-27,8,2,84,110.82048730965792,28.0
2024-11-16,4,14,80,71.0,31.0
2024-10-11,1,19,40,59.0,26.0
2024-01-28,5,7,5,12.657212126378898,21.0
2023-09-08,1,47,76,74.0,18.0
2023-03-13,3,31,71,70.0,25.0
2023-01-15,10,5,34,46.7894925039807,13.0
2023-07-24,6,44,65,11.435800138095498,16.0
2023-11-12,2,4,40,40.0,23.0
2024-04-23,1,40,63,77.0,6.0
2023-07-27,7,31,20,31.964523982613084,24.0
2024-03-16,4,12,40,78.0,20.0
2023-05-15,2,13,81,88.0,16.0
2024-06-04,5,17,25,40.60485873492174,28.0
2024-03-31,3,33,41,38.0,22.0
2024-09-28,1,22,28,85.0,29.0
2024-01-04,7,33,59,92.29580265154782,20.0
2024-12-04,4,47,54,16.69855681307945,18.0
2024-11-02,1,22,9,93.0,25.0
2024-09-11,3,11,80,26.0,21.0
2023-02-21,7,36,91,86.61546752443866,20.0
2023-03-10,5,19,77,97.0,29.0
2023-04-03,1,33,3,1.0,20.0
2024-10-18,10,2,34,60.0,18.0
2024-03-03,9,14,90,36.0,21.0
2023-11-26,9,33,39,6.0,24.0
2024-04-06,9,23,96,40.0,20.0
2023-05-15,10,35,83,65.0,20.0
2023-01-26,6,15,5,119.36436731600494,22.0
2024-11-04,6,26,23,92.0,14.0
2023-09-12,3,22,13,30.0,14.0
2023-09-26,7,38,69,4.0,23.0
2023-08-05,6,25,39,73.5940110371126,23.0
2024-07-12,1,6,63,21.8199714208909,19.0
2024-12-27,6,15,28,71.80582017164446,24.0
2023-11-05,1,3,27,15.0,19.0
2024-09-09,6,3,80,58.0,19.0
2024-06-09,7,36,1,76.4603636768999,17.0
2023-06-16,7,46,27,63.519291970161674,15.0
2024-11-07,8,50,20,83.0,23.0
2023-08-07,8,19,9,95.12721430145143,21.0
2023-07-31,8,46,13,89.10813220997552,26.0
2023-06-26,6,11,30,62.9748998352376,25.0
2023-05-05,2,37,52,30.0,20.0
2023-08-08,7,13,67,64.1614212897273,22.0
2023-03-16,7,24,7,5.0,21.0
2024-10-08,10,43,11,60.0,15.0
2024-06-09,8,18,61,56.53039731340658,22.0
2024-12-19,9,17,21,43.46690812607221,12.0
2024-03-29,9,28,88,6.0,20.0
2024-02-19,3,32,81,110.23496667443617,13.0
2024-07-16,1,30,35,80.13264876876156,29.0
2023-01-05,1,5,65,62.67334802212788,26.0
2023-06-02,4,24,57,8.838595456483494,19.0
2023-08-24,2,28,80,105.12034963859884,20.0
2024-10-31,9,35,26,66.0,26.0
2023-06-17,5,14,51,107.55838255491065,20.0
2024-12-23,4,43,9,90.21888503274893,24.0
2024-02-16,9,42,58,89.43676848856404,26.0
2023-06-27,10,30,22,10.184828703638935,21.0
2023-01-12,3,20,85,51.75527007416096,13.0
2024-06-22,2,2,73,31.816693362577464,23.0
2024-08-17,5,17,92,70.07403052767273,13.0
2024-01-12,6,8,29,39.67225414459748,17.0
2024-09-12,6,20,31,20.0,20.0
2023-05-08,4,34,47,6.0,21.0
2024-09-25,2,30,81,59.0,22.0
2023-08-19,1,12,33,104.77646013497952,6.0
2024-10-02,4,31,7,31.0,20.0
2024-03-09,8,39,70,76.0,9.0
2024-04-28,2,50,51,14.0,23.0
2024-05-15,3,30,8,19.0,23.0
2023-10-03,3,46,54,95.0,26.0
2024-05-03,8,17,22,49.0,37.0
2024-09-26,6,50,7,82.0,23.0
2023-05-01,1,44,12,73.0,9.0
2023-03-13,8,1,33,7.0,25.0
2024-11-09,8,22,87,12.0,33.0
2024-01-02,5,29,53,73.16340170817594,15.0
2024-09-13,8,5,24,62.0,23.0
2023-01-01,2,17,52,8.323388340699516,30.0
2023-05-10,8,32,55,61.0,28.0
2023-10-26,3,50,11,53.0,28.0
2023-04-29,1,35,66,90.0,24.0
2023-05-05,7,11,75,65.0,30.0
2024-02-28,8,50,79,45.39530994119182,19.0
2024-10-03,8,13,67,19.0,17.0
2024-12-03,10,42,9,94.02697643150684,21.0
2024-06-21,10,26,65,57.01416337020667,22.0
2023-06-10,7,46,58,1.1046812693502068,17.0
2023-03-23,2,10,5,86.0,16.0
2023-12-15,1,42,14,3.316788750377738,26.0
2024-09-28,10,20,23,84.0,17.0
2023-03-31,1,46,39,63.0,24.0
2023-03-06,1,33,24,45.0,26.0
2024-07-29,5,22,17,69.68020005874506,12.0
2024-10-23,9,4,31,28.0,25.0
2024-04-10,1,4,41,20.0,24.0
2024-05-04,9,36,45,59.0,20.0
2024-05-30,7,32,96,28.0,17.0
2023-10-03,8,12,97,94.0,23.0
2024-06-05,8,24,59,55.4851555561868,20.0
2024-11-27,2,33,27,18.0,21.0
2024-02-05,1,25,80,17.160821419790288,28.0
2023-03-05,4,12,86,64.0,15.0
2024-10-25,1,27,38,43.0,22.0
2024-04-10,6,39,25,30.0,15.0
2023-12-13,2,4,68,109.22050226069364,28.0
